price,charges,surface,disposition,address,district
47540,8389,58,UNDEFINED,"Svatoslavova, Praha - Nusle",Praha-Nusle
44083,7779,35,UNDEFINED,"Plzeňská, Praha - Smíchov",Praha-Smíchov
16000,4000,50,DISP_2_KK,"Ve Stromkách, Vestec - Vestec u Prahy, Středočeský kraj",Vestec
25000,4539,53,DISP_2_KK,"Na Neklance, Praha - Smíchov",Praha-Smíchov
67432,31619,65,UNDEFINED,"Masná, Praha - Staré Město",Praha-Staré Město
13490,0,17,DISP_1_KK,"Čestmírova, Praha - Nusle",Praha-Nusle
21000,3021,33,DISP_1_KK,"Gerstelova, Praha - Vysočany",Praha-Vysočany
32500,8000,53,DISP_2_KK,"Dagmar Burešové, Praha - Žižkov",Praha-Žižkov
25990,0,49,DISP_2_KK,"Waltariho, Praha - Hloubětín",Praha-Hloubětín
20000,3201,51,DISP_2_1,"Komunardů, Praha - Holešovice",Praha-Holešovice
24000,5700,72,DISP_2_1,"Arbesovo náměstí, Praha - Smíchov",Praha-Smíchov
33000,5500,89,DISP_3_KK,"Ke Klimentce, Praha - Smíchov",Praha-Smíchov
30000,5000,72,DISP_3_KK,"Ostrovského, Praha - Smíchov",Praha-Smíchov
60516,28356,36,UNDEFINED,"Sanderova, Praha - Holešovice",Praha-Holešovice
28000,4200,57,DISP_2_1,"Kubištova, Praha - Podolí",Praha-Podolí
23000,3100,55,DISP_2_1,"Černomořská, Praha - Vršovice",Praha-Vršovice
13900,4130,16,GARSONIERA,"Molákova, Praha - Karlín",Praha-Karlín
28000,8000,75,DISP_3_1,"Roháčova, Praha - Žižkov",Praha-Žižkov
26000,6000,72,DISP_3_1,"Krynická, Praha - Troja",Praha-Troja
22990,0,42,DISP_2_KK,"Anny Drabíkové, Praha - Háje",Praha-Háje
13000,5500,20,DISP_1_KK,"Křížová, Praha - Smíchov",Praha-Smíchov
10739,1895,300,UNDEFINED,"Révová, Praha - Strašnice",Praha-Strašnice
