item,title,price,packaging
banany,"Gerber Natural kapsička jablko, banán a jahoda ",25.9,90.0 g
banany,Relax Jablko-banán-jahoda,59.9,1.0 l
chleb,Authentic Chléb kvasový,49.9,700.0 g
chleb,Český pekař Chléb konzumní,24.9,500.0 g
chleb,Authentic Chléb žitná kostka,46.9,450.0 g
chleb,Authentic Chléb podmáslový,51.9,700.0 g
chleb,Baker Street 12 kváskový chléb,84.9,750.0 g
chleb,Český pekař Chléb konzumní,42.5,1.2 kg
chleb,Odkolek Chléb s kmínem,25.9,570.0 g
chleb,DELTA Chléb Šumava balený krájený,52.9,1.2 kg
chleb,DELTA Chléb Šumavský bochník nebalený,23.9,500.0 g
chleb,Penam Gurmán vícezrnný chléb krájený,42.9,500.0 g
chleb,Odkolek řemeslný bochník ,39.9,500.0 g
chleb,Authentic Žitný chlebánek,30.9,200.0 g
chleb,Penam Chléb toustový světlý,35.9,500.0 g
chleb,Penam Chléb žitno-slunečnicový celozrnný,31.9,250.0 g
chleb,Penam Chléb toustový tmavý vícezrnný,35.9,500.0 g
chleb,Penam Chléb zábrdovický balený krájený,37.9,500.0 g
chleb,Penam Chléb toustový máslový,39.9,500.0 g
chleb,ARO Chléb toustový světlý krájený,29.9,500.0 g
chleb,DELTA Toast Tip Chléb toustový světlý,29.9,500.0 g
chleb,Penam Fit den Večerní chlebík,52.9,250.0 g
chleb,Baskeeto Pšeničnožitný toustový chléb tmavý,29.9,500.0 g
chleb,Odkolek Chléb lámankový krájený,47.9,500.0 g
chleb,Chlebík špičák,48.9,400.0 g
chleb,Pekařství Balabán Chléb škvarkový nebalený,49.9,500.0 g
chleb,"Baskeeto Pšeničnožitný Super sendvič, tmavý",25.9,375.0 g
chleb,ARO Chléb toustový tmavý krájený,29.9,500.0 g
chleb,Baskeeto Vícezrnný Super sendvič,34.9,375.0 g
chleb,Penam Sporty chléb,51.9,350.0 g
chleb,Karlova pekárna Chléb žitný kulatý 1/2 balený krájený,39.9,375.0 g
chleb,Karlova pekárna Chléb Bavorský balený krájený,44.9,500.0 g
maslo,Fine Life Máslo 82%,44.9,250.0 g
maslo,Tatra Farmářské máslo (84%),34.9,200.0 g
maslo,Madeta Jihočeské máslo (82%),54.9,250.0 g
maslo,Milko Máslo (82%),49.9,250.0 g
maslo,"Dr. Halíř Máslo (82%), 125 g",29.9,125.0 g
maslo,DeLacto Máslo bez laktózy (82%),52.9,125.0 g
maslo,Dublin Dairy Irské máslo,104.9,200.0 g
maslo,Authentic Farmářské čerstvé máslo 82%,98.98,200.0 g
maslo,Milko BIO Máslo,57.9,150.0 g
maslo,Parmareggio Máslo Parmareggio,49.9,100.0 g
maslo,Dublin Dairy Irish máslo solené,104.9,200.0 g
maslo,Sedita Club máslové sušenky,28.9,140.0 g
maslo,Perla Máslová příchuť,54.9,450.0 g
maslo,Fine Life Tradiční pomazánkové bílé,22.9,150.0 g
maslo,Meggle Bylinkové máslo Original,69.9,125.0 g
maslo,Rioba Máslo 100 x 10 g,429.0,1.0 kg
maslo,Rama máslová příchuť,59.9,400.0 g
maslo,Olma Zlatá Haná Roztíratelný směsný tuk,30.9,250.0 g
maslo,Antica Cremeria Cremeria máslo slané,149.9,250.0 g
maslo,Olma Tradiční pomazánkové natur,26.9,150.0 g
maslo,Flora Gold,79.9,400.0 g
maslo,Président La Motte máslo s mořskou solí,99.9,250.0 g
maslo,Olma Zlatá Haná k namazání rostlinný tuk (73%),38.9,250.0 g
maslo,Choceňská Mlékárna Choceňské tradiční pomazánkové bez příchuti,26.9,80.0 g
maslo,Goat Farm Kozí máslo,59.9,125.0 g
maslo,Bonne Maman Mini galetky máslové,47.9,100.0 g
maslo,Giana Fazole bílé máslové ve slaném nálevu,34.9,400.0 g
maslo,Meggle porcované máslo ALU 100x10g,539.0,100.0 ks
maslo,Naturalia BIO Tradiční máslo,139.9,250.0 g
maslo,Flora Original,79.9,400.0 g
vejce,"Vejce Kosičky Čerstvá podestýlková vejce, vel. M",79.9,10.0 ks
vejce,"Schubert Cereál Q Podestýlková čerstvá vejce, hmotnostní skupina M",89.9,6.0 ks
vejce,"Vejce Kosičky čerstvá podestýlková, vel. S",199.9,30.0 ks
vejce,Droždí pekařské čerstvé,4.9,42.0 g
vejce,Fala Čerstvé droždí,12.9,42.0 g
vejce,Čerstvě nakrájeno Bageta sýr a vejce,69.9,230.0 g
spagety,ARO Špagety bezvaječné,12.9,500.0 g
spagety,Barilla Spaghetti Semolinové těstoviny,64.9,500.0 g
spagety,Panzani Spaghetti semolinové sušené těstoviny,44.9,500.0 g
spagety,Adriana Spaghetti těstoviny semolinové sušené,49.9,500.0 g
spagety,Barilla Spaghettini n.3,64.9,500.0 g
spagety,Premium semolina špagety,29.9,500.0 g
spagety,Panzani Express Spaghetti,64.9,500.0 g
spagety,Premium špagety vaječné,29.9,500.0 g
spagety,Barilla Capellini semolinové těstoviny,64.9,500.0 g
spagety,Rosické Těstoviny Rosické Bezvaječné Špagety,35.9,500.0 g
spagety,Vitana Špagety koření,25.9,23.0 g
spagety,RUMMO Spaghetti,79.9,500.0 g
spagety,Barilla Spaghetti rodinné balení,99.9,1.0 kg
