price,charges,surface,disposition,address,district,full_cost,disposition_clean,price_per_m2,zone
28000,5693,66,DISP_2_KK,"Cholupická, Praha - Kamýk",Kamýk,33693,2+KK,510.5,outer_or_suburbs
28900,169,60,DISP_2_KK,"Mukařovského, Praha - Stodůlky",Stodůlky,29069,2+KK,484.48333333333335,outer_or_suburbs
27500,5581,49,DISP_2_KK,"Na Pomezí, Praha - Košíře",Košíře,33081,2+KK,675.1224489795918,inner_city
22500,4800,58,DISP_2_KK,"Tvrdého, Praha - Letňany",Letňany,27300,2+KK,470.6896551724138,outer_or_suburbs
25000,5000,55,DISP_2_KK,"Kafkova, Praha - Dejvice",Dejvice,30000,2+KK,545.4545454545455,inner_city
19900,4500,33,DISP_1_KK,"Zálesí, Praha - Krč",Krč,24400,1+KK,739.3939393939394,outer_or_suburbs
22800,4000,42,DISP_2_KK,"Werichova, Praha - Hlubočepy",Hlubočepy,26800,2+KK,638.0952380952381,inner_city
32900,5000,71,DISP_4_KK,"V Nových Bohnicích, Praha - Bohnice",Bohnice,37900,4+KK,533.8028169014085,outer_or_suburbs
32900,5000,105,DISP_3_KK,"Pod Zahrady, Přezletice - Přezletice, Středočeský kraj",Přezletice,37900,3+KK,360.95238095238096,outer_or_suburbs
46917,23254,79,UNDEFINED,"Polská, Praha - Vinohrady",Vinohrady,70171,,888.2405063291139,inner_city
21900,3200,36,DISP_1_KK,"Odkolkova, Praha - Vysočany",Vysočany,25100,1+KK,697.2222222222222,inner_city
20000,4540,40,DISP_1_KK,"Budovcova, Praha - Žižkov",Žižkov,24540,1+KK,613.5,inner_city
24000,2800,29,DISP_1_KK,"Krymská, Praha - Vršovice",Vršovice,26800,1+KK,924.1379310344828,inner_city
14990,0,17,DISP_1_KK,"Radlická, Praha - Smíchov",Smíchov,14990,1+KK,881.7647058823529,inner_city
12000,2200,25,GARSONIERA,"Hvozdíková, Praha - Záběhlice",Záběhlice,14200,GARSONIERA,568.0,outer_or_suburbs
17500,3260,28,DISP_1_KK,"K Barrandovu, Praha - Hlubočepy",Hlubočepy,20760,1+KK,741.4285714285714,inner_city
38000,9300,90,DISP_4_KK,"Generála Šišky, Praha - Modřany",Modřany,47300,4+KK,525.5555555555555,outer_or_suburbs
21000,2500,46,DISP_2_KK,"Oldřichova, Praha - Nusle",Nusle,23500,2+KK,510.8695652173913,inner_city
22000,5000,47,DISP_2_KK,"Slávy Horníka, Praha - Košíře",Košíře,27000,2+KK,574.468085106383,inner_city
50142,8848,40,UNDEFINED,"Dlážděná, Praha - Nové Město",Nové Město,58990,,1474.75,center
20900,4100,38,DISP_2_KK,"Holečkova, Praha - Košíře",Košíře,25000,2+KK,657.8947368421053,inner_city
26990,0,73,DISP_3_KK,"Klapálkova, Praha - Chodov",Chodov,26990,3+KK,369.7260273972603,outer_or_suburbs
54776,9666,120,UNDEFINED,"Šmilovského, Praha - Vinohrady",Vinohrady,64442,,537.0166666666667,inner_city
28000,5200,72,DISP_3_1,"Šiškova, Praha - Kobylisy",Kobylisy,33200,3+1,461.1111111111111,inner_city
19000,4300,55,DISP_2_KK,"Bartoškova, Praha - Nusle",Nusle,23300,2+KK,423.6363636363636,inner_city
24000,5578,60,DISP_2_1,"Čimelická, Praha - Lhotka",Lhotka,29578,2+1,492.96666666666664,outer_or_suburbs
17000,3331,28,DISP_1_KK,"Zakšínská, Praha - Střížkov",Střížkov,20331,1+KK,726.1071428571429,outer_or_suburbs
29566,5218,35,UNDEFINED,"Dvacátého osmého pluku, Praha - Vršovice",Vršovice,34784,,993.8285714285714,inner_city
22500,3000,43,DISP_2_KK,"Fibichova, Praha - Žižkov",Žižkov,25500,2+KK,593.0232558139535,inner_city
18000,3400,60,DISP_2_KK,"Rostislavova, Praha - Nusle",Nusle,21400,2+KK,356.6666666666667,inner_city
25569,4512,82,UNDEFINED,"Kosatcová, Praha - Záběhlice",Záběhlice,30081,,366.8414634146341,outer_or_suburbs
38806,6848,60,UNDEFINED,"Tyršova, Praha - Nové Město",Nové Město,45654,,760.9,center
26000,5000,46,DISP_2_KK,"Arnošta Valenty, Praha - Černý Most",Černý Most,31000,2+KK,673.9130434782609,outer_or_suburbs
27955,4933,22,UNDEFINED,"Kubánské náměstí, Praha - Vršovice",Vršovice,32888,,1494.909090909091,inner_city
32678,14318,34,UNDEFINED,"Bulharská, Praha - Vršovice",Vršovice,46996,,1382.235294117647,inner_city
19000,800,40,DISP_2_KK,"Strančická, Praha - Strašnice",Strašnice,19800,2+KK,495.0,inner_city
18000,4000,50,DISP_2_KK,"Dvořákova, Říčany - Říčany u Prahy, Středočeský kraj",Říčany,22000,2+KK,440.0,outer_or_suburbs
38194,6740,30,UNDEFINED,"Řehořova, Praha - Žižkov",Žižkov,44934,,1497.8,inner_city
24500,5000,56,DISP_3_KK,"Vratislavská, Praha - Bohnice",Bohnice,29500,3+KK,526.7857142857143,outer_or_suburbs
23000,5000,50,DISP_3_KK,"Kloboučnická, Praha - Nusle",Nusle,28000,3+KK,560.0,inner_city
20000,3700,56,DISP_2_KK,"Plzeňská, Praha - Smíchov",Smíchov,23700,2+KK,423.2142857142857,inner_city
22800,4500,77,DISP_3_KK,"Za Hotelem, Nupaky - Nupaky, Středočeský kraj",Nupaky,27300,3+KK,354.54545454545456,outer_or_suburbs
36569,6453,40,UNDEFINED,"Olgy Havlové, Praha - Žižkov",Žižkov,43022,,1075.55,inner_city
24000,6000,49,DISP_2_KK,"Musílkova, Praha - Košíře",Košíře,30000,2+KK,612.2448979591836,inner_city
31000,2300,91,DISP_3_KK,"Na Křivce, Praha - Michle",Michle,33300,3+KK,365.9340659340659,inner_city
21000,3700,50,DISP_2_KK,"Levá, Praha - Podolí",Podolí,24700,2+KK,494.0,inner_city
