zone,district,disposition_clean,avg_rent,avg_m2_price,count
inner_city,Prosek,1+KK,14490.0,315.0,1
inner_city,Prosek,2+KK,26017.8,528.4736448874123,5
inner_city,Prosek,3+KK,37500.0,468.75,1
inner_city,Prosek,6+1,12000.0,92.3076923076923,1
inner_city,Radlice,1+KK,24400.0,717.6470588235294,1
inner_city,Radlice,2+KK,34446.333333333336,610.6369650556186,3
inner_city,Smíchov,1+1,20044.0,468.87496304864726,5
inner_city,Smíchov,1+KK,19473.333333333332,713.3986430266001,9
inner_city,Smíchov,2+1,27755.0,442.83187134502924,3
inner_city,Smíchov,2+KK,24844.81818181818,548.5049516029569,11
inner_city,Smíchov,3+1,34250.0,327.2556390977444,2
inner_city,Smíchov,3+KK,35783.166666666664,460.93088679473243,6
inner_city,Smíchov,4+1,34490.0,313.54545454545456,1
inner_city,Strašnice,1+1,19500.0,500.0,1
inner_city,Strašnice,1+KK,23425.285714285714,668.1737760775275,7
inner_city,Strašnice,2+1,28757.285714285714,451.5502928224959,7
inner_city,Strašnice,2+KK,27228.571428571428,532.2342334751324,14
inner_city,Strašnice,3+1,27000.0,291.0810810810811,2
inner_city,Strašnice,3+KK,25945.0,413.46824408468245,2
inner_city,Strašnice,4+1,32200.0,357.77777777777777,1
inner_city,Střešovice,1+1,24000.0,685.7142857142857,1
inner_city,Střešovice,1+KK,15900.0,836.8421052631579,1
inner_city,Střešovice,2+1,26450.0,456.04314204314204,3
inner_city,Střešovice,GARSONIERA,19000.0,703.7037037037037,1
inner_city,Vinohrady,1+1,24050.0,551.3373860182371,4
inner_city,Vinohrady,1+KK,22553.375,860.0604904354905,8
inner_city,Vinohrady,2+1,27978.0,429.9951267627642,5
inner_city,Vinohrady,2+KK,30671.0,641.2151200771397,13
inner_city,Vinohrady,3+1,43791.5,454.16631803484853,6
inner_city,Vinohrady,3+KK,33892.857142857145,418.3324318663105,7
inner_city,Vinohrady,4+KK,45000.0,420.5607476635514,1
inner_city,Vokovice,1+1,21500.0,537.5,1
inner_city,Vokovice,1+KK,17200.0,615.375,2
inner_city,Vokovice,2+1,20740.0,380.456228956229,2
inner_city,Vokovice,2+KK,25500.0,439.6551724137931,1
inner_city,Vokovice,3+1,30693.0,333.6195652173913,1
inner_city,Vokovice,3+KK,37460.0,443.2774263625327,3
inner_city,Vokovice,4+KK,31400.0,461.7647058823529,1
inner_city,Vršovice,1+1,25000.0,862.0689655172414,1
inner_city,Vršovice,1+KK,20843.75,746.0316488468428,8
inner_city,Vršovice,2+1,27586.0,471.14053337459,10
inner_city,Vršovice,2+KK,26371.823529411766,506.5294681929185,17
inner_city,Vršovice,3+1,27250.0,350.5281690140845,2
inner_city,Vršovice,3+KK,31585.0,390.63328424153167,2
inner_city,Vršovice,5+1,10401.0,122.36470588235294,1
inner_city,Vršovice,5+KK,39000.0,443.1818181818182,1
inner_city,Vysočany,1+1,15795.0,387.969696969697,2
inner_city,Vysočany,1+KK,21984.206896551725,639.2546604289416,29
inner_city,Vysočany,2+1,18990.0,351.6666666666667,1
inner_city,Vysočany,2+KK,30057.88888888889,557.4556890939606,18
inner_city,Vysočany,3+KK,40425.0,461.9593180937621,4
inner_city,Vysočany,GARSONIERA,13200.0,528.0,1
inner_city,Žižkov,1+1,21341.5,555.1814654812151,6
inner_city,Žižkov,1+KK,22244.0,687.3394950012823,13
inner_city,Žižkov,2+1,29109.090909090908,497.070966378089,11
inner_city,Žižkov,2+KK,28227.085714285713,579.5657648014258,35
inner_city,Žižkov,3+1,28633.333333333332,463.1102096010818,3
inner_city,Žižkov,3+KK,37200.0,466.393570536829,2
inner_city,Žižkov,4+KK,46422.5,498.56312957875457,2
inner_city,Žižkov,GARSONIERA,15875.0,503.57142857142856,2
outer_or_suburbs,Benice,2+KK,23000.0,310.81081081081084,1
outer_or_suburbs,Bohnice,1+1,20000.0,526.3157894736842,1
outer_or_suburbs,Bohnice,2+1,29600.0,503.17663817663816,2
outer_or_suburbs,Bohnice,2+KK,28095.0,668.9285714285714,1
outer_or_suburbs,Bohnice,3+1,23490.0,321.7808219178082,1
outer_or_suburbs,Bohnice,3+KK,28296.666666666668,432.0304232804233,3
outer_or_suburbs,Bohnice,4+KK,37900.0,533.8028169014085,1
outer_or_suburbs,Běchovice,2+KK,20490.0,525.3846153846154,1
outer_or_suburbs,Chodov,1+KK,19166.666666666668,677.8544590138794,3
outer_or_suburbs,Chodov,2+KK,25984.5,555.6097848797768,12
outer_or_suburbs,Chodov,3+1,27953.333333333332,388.7571428571428,3
outer_or_suburbs,Chodov,3+KK,29796.666666666668,420.3700937787139,6
outer_or_suburbs,Chodov,4+1,51500.0,399.2248062015504,1
outer_or_suburbs,Dolní Chabry,2+KK,27000.0,500.0,1
outer_or_suburbs,Dolní Chabry,GARSONIERA,15000.0,833.3333333333334,1
outer_or_suburbs,Dolní Měcholupy,1+KK,21933.333333333332,568.0729601782233,3
outer_or_suburbs,Dolní Měcholupy,2+KK,26295.0,501.5021770682148,2
outer_or_suburbs,Dolní Počernice,2+1,25000.0,454.54545454545456,1
outer_or_suburbs,Dubeč,2+KK,24000.0,600.0,1
outer_or_suburbs,Hloubětín,1+1,20100.0,670.0,1
outer_or_suburbs,Hloubětín,1+KK,20268.076923076922,625.0671584739156,26
outer_or_suburbs,Hloubětín,2+1,25500.0,504.8076923076923,2
outer_or_suburbs,Hloubětín,2+KK,27735.75,535.8068186354238,12
outer_or_suburbs,Hloubětín,3+1,12500.0,142.04545454545453,1
outer_or_suburbs,Hloubětín,3+KK,43456.0,499.4942528735632,1
outer_or_suburbs,Hodkovičky,1+1,18000.0,562.5,1
outer_or_suburbs,Hodkovičky,1+KK,23700.0,587.569573283859,2
outer_or_suburbs,Horní Měcholupy,1+KK,20550.0,628.058426073132,4
outer_or_suburbs,Horní Měcholupy,2+KK,25242.666666666668,467.3423180592992,3
outer_or_suburbs,Horní Měcholupy,3+KK,30200.0,464.61538461538464,1
outer_or_suburbs,Horní Počernice,2+1,27000.0,509.4339622641509,1
outer_or_suburbs,Horní Počernice,2+KK,30200.0,431.42857142857144,1
outer_or_suburbs,Horní Počernice,3+1,30500.0,342.69662921348316,1
outer_or_suburbs,Horoměřice,2+KK,22250.0,483.695652173913,2
outer_or_suburbs,Horoměřice,3+KK,29900.0,446.2686567164179,1
outer_or_suburbs,Horoměřice,4+KK,7500.0,87.20930232558139,1
outer_or_suburbs,Horoměřice,GARSONIERA,13175.0,693.421052631579,1
outer_or_suburbs,Hostavice,1+KK,17600.0,488.8888888888889,1
outer_or_suburbs,Hostavice,2+KK,28500.0,558.8235294117648,1
outer_or_suburbs,Hostivař,1+KK,20000.0,645.1612903225806,1
outer_or_suburbs,Hostivař,2+1,28000.0,583.3333333333334,1
outer_or_suburbs,Hostivař,2+KK,26500.0,602.2727272727273,1
outer_or_suburbs,Hostivař,3+KK,32750.0,484.8484848484849,2
outer_or_suburbs,Hostivice,1+KK,18596.666666666668,543.1995464852608,3
outer_or_suburbs,Hostivice,2+1,22000.0,372.8813559322034,1
outer_or_suburbs,Hostivice,2+KK,23484.25,480.37221411101126,4
outer_or_suburbs,Hrdlořezy,1+KK,25950.0,627.4709302325582,2
outer_or_suburbs,Hrdlořezy,2+KK,25500.0,510.0,1
